"list_no","name","age","nominate_party","member_party","occupation","residence","abs_votes","pct_votes","rank","mandate","party","region"
"28","Balín Vlastimil  RSDr.","61","OMMO","OMMO","důchodce","Most","53","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"32","Bartoš Vojtěch","27","OMMO","BEZPP","opravář zemědělských strojů","Louny","22","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"9","Berky Bohumír","57","OMMO","BEZPP","živnostník","Duchcov","15","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"24","Bíba Josef","62","OMMO","OMMO","podnikatel","Lužice","12","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"6","Bílková Martina","41","OMMO","BEZPP","švadlena","Teplice","25","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"16","Bozetická Alena","59","OMMO","BEZPP","administrativní pracovnice","Lom","30","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"27","Bozetický Josef","71","OMMO","BEZPP","důchodce","Lom","18","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"26","Brabec Petr","56","OMMO","BEZPP","servisní technik","Most","9","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"8","Caklová Drahomíra  Bc.","49","OMMO","BEZPP","učitelka MŠ","Varnsdorf","72","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"1","Dancso Marian","31","OMMO","OMMO","správce PC učebny","Lom","108","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"21","Dolanský Jiří  Bc.","23","OMMO","BEZPP","student","Most","19","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"34","Dušek Josef","45","OMMO","BEZPP","zedník","Osek","10","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"30","Franc František","66","OMMO","BEZPP","důchodce","Ústí nad Labem","6","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"23","Franěk Aleš","32","OMMO","OMMO","závozník","Lom","7","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"41","Grill Rudolf","65","OMMO","BEZPP","řidič","Lom","8","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"10","Hanzlíková Jaroslava","55","OMMO","BEZPP","personalista","Lom","30","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"25","Harbichová Lenka","36","OMMO","BEZPP","obsluha stroje","Most","12","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"29","Jachauová Lenka","41","OMMO","BEZPP","ostraha majetku a osob","Litvínov","6","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
"36","Kalach Pavel","22","OMMO","BEZPP","řidič","Lom","21","0,00",NA,NA,"""Občané městu, město občanům""","Ústecký kraj"
