"list_no","name","age","nominate_party","member_party","occupation","residence","abs_votes","pct_votes","rank","mandate","party","region"
"54","Barták Jan  JUDr.","61","KSČM","BEZPP","právník","Čelákovice","125","0,22","-","44","Komunistická strana Čech a Moravy","Středočeský kraj"
"47","Beneš Milan","42","KSČM","KSČM","technik","Bělá pod Bezdězem","143","0,26","-","37","Komunistická strana Čech a Moravy","Středočeský kraj"
"43","Bláha Miloš","42","KSČM","KSČM","zaměstnanec ČD","Pečky","267","0,48","-","33","Komunistická strana Čech a Moravy","Středočeský kraj"
"59","Bradáč Antonín","52","KSČM","KSČM","zaměstnanec BA","Bečváry","115","0,21","-","49","Komunistická strana Čech a Moravy","Středočeský kraj"
"64","Carvan Rudolf  Bc.","52","KSČM","BEZPP","státní zaměstnanec","Kladno","96","0,17","-","54","Komunistická strana Čech a Moravy","Středočeský kraj"
"10","Cinka Ivan  Mgr.","51","KSČM","KSČM","novinář","Benešov","680","1,24","*","10","Komunistická strana Čech a Moravy","Středočeský kraj"
"57","Čechák Vilém  Ing.","68","KSČM","KSČM","dopravní technik","Olbramovice","180","0,32","-","47","Komunistická strana Čech a Moravy","Středočeský kraj"
"39","Červenka Tomáš","39","KSČM","BEZPP","autodopravce","Chlumín","112","0,20","-","29","Komunistická strana Čech a Moravy","Středočeský kraj"
"70","Dolejší Jaroslava","61","KSČM","KSČM","úřednice","Slaný","116","0,21","-","60","Komunistická strana Čech a Moravy","Středočeský kraj"
"23","Dovolil Josef  Ing.","51","KSČM","KSČM","podnikatel","Mladá Boleslav","550","1,00","-","13","Komunistická strana Čech a Moravy","Středočeský kraj"
"50","Duník Vladimír","51","KSČM","KSČM","mistr","Čelákovice","158","0,28","-","40","Komunistická strana Čech a Moravy","Středočeský kraj"
"3","Fialová Jiřina","58","KSČM","KSČM","poslankyně","Vraňany","1 418","2,59","*","3","Komunistická strana Čech a Moravy","Středočeský kraj"
"44","Franta Bohumil","43","KSČM","KSČM","vedoucí obchodního střediska","Olbramovice","123","0,22","-","34","Komunistická strana Čech a Moravy","Středočeský kraj"
"45","Fryčer Jan","44","KSČM","KSČM","bezpečnostní technik","Úvaly","70","0,12","-","35","Komunistická strana Čech a Moravy","Středočeský kraj"
"28","Grospičová Alena","51","KSČM","KSČM","dělnice","Mladá Boleslav","1 095","2,00","-","18","Komunistická strana Čech a Moravy","Středočeský kraj"
